,conditions,direction,n,avg_ret,wr,sharpe,oos_sh,wf,coin,score
62,FUND_P99+CVD_DOWN+TREND_UP,SHORT,27,1.069,63.0,15.25,33.55,0,OPUSDT,17.995
42,FUND_P5+FUND_RISING+CVD_DOWN,LONG,68,1.406,85.3,23.17,25.03,3,XRPUSDT,17.863
63,FUND_P5+FUND_POS+FUND_RISING,SHORT,45,3.018,91.1,24.26,24.73,2,OPUSDT,17.770000000000003
33,FUND_P5+FUND_RISING+CVD_DOWN,LONG,132,1.382,81.8,22.21,24.3,4,BNBUSDT,17.583000000000002
34,FUND_P99+CVD_UP+VOL_HIGH,SHORT,28,1.076,85.7,21.14,27.68,0,BNBUSDT,17.414
64,FUND_P99+VOL_HIGH+PRICE_UP,SHORT,29,2.605,86.2,22.05,25.8,0,OPUSDT,16.935000000000002
84,FUND_P95+OI_DOWN+VOL_HIGH,LONG,26,2.646,69.2,17.92,27.87,0,AVAXUSDT,16.524
10,FUND_P5+VOL_HIGH+PRICE_UP,LONG,32,1.379,75.0,16.61,28.25,0,ETHUSDT,16.283
65,FUND_P99+CVD_UP+VOL_HIGH,SHORT,34,2.438,85.3,22.01,23.99,0,OPUSDT,16.199
66,FUND_P99+VOL_HIGH+TREND_UP,SHORT,30,2.525,86.7,21.76,24.05,0,OPUSDT,16.148000000000003
77,FUND_P99+CVD_DOWN+OI_DOWN,SHORT,22,0.975,59.1,8.12,32.93,0,LINKUSDT,15.608
51,FUND_P95+VOL_HIGH+TREND_DOWN,LONG,20,3.014,65.0,20.99,22.96,0,ARBUSDT,15.481000000000002
7,FUND_P1+OI_UP+PRICE_UP,LONG,56,1.051,76.8,12.19,27.99,2,BTCUSDT,15.453
35,FUND_P99+VOL_HIGH+TREND_UP,SHORT,28,1.024,82.1,18.53,24.6,0,BNBUSDT,15.399000000000001
67,FUND_P95+OI_DOWN+TREND_DOWN,LONG,76,2.274,71.1,20.26,20.66,3,OPUSDT,15.242000000000003
14,FUND_P99+CVD_DOWN+PRICE_DOWN,LONG,34,1.401,64.7,12.55,28.67,0,ETHUSDT,15.233000000000002
12,FUND_P95+FUND_P99+PRICE_DOWN,LONG,34,1.401,64.7,12.55,28.67,0,ETHUSDT,15.233000000000002
13,FUND_P99+FUND_RISING+PRICE_DOWN,LONG,34,1.401,64.7,12.55,28.67,0,ETHUSDT,15.233000000000002
11,FUND_P99+PRICE_DOWN,LONG,34,1.401,64.7,12.55,28.67,0,ETHUSDT,15.233000000000002
15,FUND_P99+FUND_POS+PRICE_DOWN,LONG,34,1.401,64.7,12.55,28.67,0,ETHUSDT,15.233000000000002
85,FUND_P99+CVD_DOWN+TREND_DOWN,SHORT,60,1.35,76.7,10.91,28.75,1,AVAXUSDT,15.073
